instituicao_responsavel_original,instituicao_responsavel_normalizada,instituicoes_apoio_originais,instituicoes_apoio_normalizadas,arquivo_origem,id_documento_logico
"Ministério da Agricultura, Pecuária e Abastecimento","Ministério da Agricultura, Pecuária e Abastecimento","[""Associação Baiana das Empresas de Base Florestal - ABAF-BA"", ""Agência Reguladora de águas, Energia e Saneamento do Distrito Federal - ADASA"", ""Associação Gaúcha de Empresas Florestais - AGEFLOR"", ""Associação de Reflorestadores de Mato Grosso - AREFLORESTA-MT"", ""Associação Brasileira das Entidades Estaduais de Assistência Técnica e Extensão Rural - ASBRAER"", ""Associação Brasileira do Biogás - ABiogás"", ""Associação do Sudoeste Paulista de Irrigação e Plantio na Palha - ASPIPP"", ""Associação Nacional da Pecuária Intensiva - Assocon"", ""Associação Paranaense de Empresas de Base Florestal - APRE"", ""Banco Central do Brasil - BACEN"", ""Banco Mundial - BIRD"", ""Banco Interamericano de Desenvolvimento - BID"", ""Centro Nacional de Monitoramento e Alertas de Desastres Naturais - Cemaden"", ""Centro Internacional de Energias Renováveis - CIBiogás-ER"", ""Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC"", ""Climate Policy Initiative - CPI Global"", ""Confederação da Agricultura e Pecuária do Brasil - CNA"", ""Associação Rio-grandense de Empreendimentos de Assistência Técnica e Extensão Rural - Emater RS"", ""Embaixada do Reino Unido"", ""Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA"", ""Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI"", ""Escola Superior de Agricultura “Luiz de Queiroz”/ Universidade de São Paulo - Esalq/USP"", ""Organização das Nações Unidas para a Alimentação e a Agricultura - FAO"", ""Federação Brasileira do Sistema Plantio Direto - FEBRAPDP"", ""Deutsche Gesellschaft für Internationale Zusammenarbeit - GIZ"", ""Indústria Brasileira de Árvores - IBÁ"", ""Stichting IDH Sustainable Trade Initiative - IDH"", ""Instituto de Desenvolvimento Rural do Paraná - IDR"", ""Instituto de Manejo e Certificação Florestal e Agrícola - IMAFLORA"", ""Instituto Capixaba de Pesquisa, Assistência Técnica e Extensão Rural - INCAPER"", ""INCT Microrganismos Promotores do Crescimento de Plantas Visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental - MPCPAgro"", ""Instituto 17 - i17"", ""Instituto Nacional de Ciência e Tecnologia - INCT"", ""Instituto Nacional de Meteorologia - INMET"", ""Instituto Nacional de Pesquisas Espaciais - INPE"", ""Bankengruppe - KFW"", ""Ministério da Economia - ME"", ""Organização das Cooperativas Brasileiras - OCB"", ""Associação Sul-Mato-Grossense de Produtores e Consumidores de Florestas Plantadas - REFLORE-MS"", ""Serviço Nacional de Aprendizagem Rural - SENAR"", ""Sociedade Brasileira de Sistemas Agroflorestais - SBSA"", ""Universidade do Estado de Santa Catarina - UDESC"", ""Universidade Estadual de Londrina - UEL"", ""Universidade Estadual de Ponta Grossa - UEPG"", ""Universidade Federal de Minas Gerais - UFMG"", ""Universidade Federal do Paraná - UFPR"", ""Universidade Federal do Rio Grande do Sul - UFRGS"", ""Universidade Federal de Santa Catarina - UFSC"", ""Universidade Federal de Santa Maria - UFSM"", ""Universidade Federal de Viçosa - UFV"", ""Universidade Federal de Mato Grosso do Sul - UFMS"", ""Organização das Nações Unidas para o Desenvolvimento Industrial - UNIDO""]","[""Associação Baiana das Empresas de Base Florestal - ABAF-BA"", ""Agência Reguladora de águas, Energia e Saneamento do Distrito Federal - ADASA"", ""Associação Gaúcha de Empresas Florestais - AGEFLOR"", ""Associação de Reflorestadores de Mato Grosso - AREFLORESTA-MT"", ""Associação Brasileira das Entidades Estaduais de Assistência Técnica e Extensão Rural - ASBRAER"", ""Associação Brasileira do Biogás - ABiogás"", ""Associação do Sudoeste Paulista de Irrigação e Plantio na Palha - ASPIPP"", ""Associação Nacional da Pecuária Intensiva - Assocon"", ""Associação Paranaense de Empresas de Base Florestal - APRE"", ""Banco Central do Brasil - BACEN"", ""Banco Mundial - BIRD"", ""Banco Interamericano de Desenvolvimento - BID"", ""Centro Nacional de Monitoramento e Alertas de Desastres Naturais - Cemaden"", ""Centro Internacional de Energias Renováveis - CIBiogás-ER"", ""Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC"", ""Climate Policy Initiative - CPI Global"", ""Confederação da Agricultura e Pecuária do Brasil - CNA"", ""Associação Rio-grandense de Empreendimentos de Assistência Técnica e Extensão Rural - Emater RS"", ""Embaixada do Reino Unido"", ""Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA"", ""Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI"", ""Escola Superior de Agricultura “Luiz de Queiroz”/ Universidade de São Paulo - Esalq/USP"", ""Organização das Nações Unidas para a Alimentação e a Agricultura - FAO"", ""Federação Brasileira do Sistema Plantio Direto - FEBRAPDP"", ""Deutsche Gesellschaft für Internationale Zusammenarbeit - GIZ"", ""Indústria Brasileira de Árvores - IBÁ"", ""Stichting IDH Sustainable Trade Initiative - IDH"", ""Instituto de Desenvolvimento Rural do Paraná - IDR"", ""Instituto de Manejo e Certificação Florestal e Agrícola - IMAFLORA"", ""Instituto Capixaba de Pesquisa, Assistência Técnica e Extensão Rural - INCAPER"", ""INCT Microrganismos Promotores do Crescimento de Plantas Visando à Sustentabilidade Agrícola e à Responsabilidade Ambiental - MPCPAgro"", ""Instituto 17 - i17"", ""Instituto Nacional de Ciência e Tecnologia - INCT"", ""Instituto Nacional de Meteorologia - INMET"", ""Instituto Nacional de Pesquisas Espaciais - INPE"", ""Bankengruppe - KFW"", ""Ministério da Economia - ME"", ""Organização das Cooperativas Brasileiras - OCB"", ""Associação Sul-Mato-Grossense de Produtores e Consumidores de Florestas Plantadas - REFLORE-MS"", ""Serviço Nacional de Aprendizagem Rural - SENAR"", ""Sociedade Brasileira de Sistemas Agroflorestais - SBSA"", ""Universidade do Estado de Santa Catarina - UDESC"", ""Universidade Estadual de Londrina - UEL"", ""Universidade Estadual de Ponta Grossa - UEPG"", ""Universidade Federal de Minas Gerais - UFMG"", ""Universidade Federal do Paraná - UFPR"", ""Universidade Federal do Rio Grande do Sul - UFRGS"", ""Universidade Federal de Santa Catarina - UFSC"", ""Universidade Federal de Santa Maria - UFSM"", ""Universidade Federal de Viçosa - UFV"", ""Universidade Federal de Mato Grosso do Sul - UFMS"", ""Organização das Nações Unidas para o Desenvolvimento Industrial - UNIDO""]",081.pdf,doc_cf992674794f4be4
Fundação Oswaldo Cruz (Fiocruz),Fundação Oswaldo Cruz (Fiocruz),"[""Ministério da Saúde"", ""Instituto Brasileiro de Geografia e Estatística (IBGE)""]","[""Ministério da Saúde"", ""Instituto Brasileiro de Geografia e Estatística (IBGE)""]",082.pdf,doc_218d50ccb304b42b
Fundação Dom Cabral,Fundação Dom Cabral,[],[],083.pdf,doc_4fbfb77ca9b157e2
Instituto Sagres,Instituto Sagres,[],[],084.pdf,doc_dd7089b1f658d2f8
BANCO MUNDIAL,BANCO MUNDIAL,[],[],085.pdf,doc_65bc86a6d8f4f9f3
Ministério das Cidades / Secretaria Nacional de Habitação,Ministério das Cidades / Secretaria Nacional de Habitação,"[""Instituto Via Pública"", ""Fupam-LabHab-FAUUSP"", ""Logos Engenharia"", ""Conselho das Cidades"", ""Conselho Gestor do Fundo Nacional de Habitação de Interesse Social – CGFNHIS"", ""Fundação João Pinheiro/MG"", ""Centro de Desenvolvimento de Planejamento Regional da Universidade Federal de Minas Gerias - Cedeplar/MG"", ""Centro de Estudos da Métropole do Centro Brasileiro de Análise e Planejamento - CEM / CEBRAP"", ""Caixa Econômica Federal"", ""Banco Mundial"", ""Movimento Popular"", ""Entidades Profissionais, Acadêmicas e de Pesquisa"", ""Trabalhadores"", ""Empresários"", ""ONGs"", ""Poder Público Estadual"", ""Poder Público Municipal""]","[""Instituto Via Pública"", ""Fupam-LabHab-FAUUSP"", ""Logos Engenharia"", ""Conselho das Cidades"", ""Conselho Gestor do Fundo Nacional de Habitação de Interesse Social – CGFNHIS"", ""Fundação João Pinheiro/MG"", ""Centro de Desenvolvimento de Planejamento Regional da Universidade Federal de Minas Gerias - Cedeplar/MG"", ""Centro de Estudos da Métropole do Centro Brasileiro de Análise e Planejamento - CEM / CEBRAP"", ""Caixa Econômica Federal"", ""Banco Mundial"", ""Movimento Popular"", ""Entidades Profissionais, Acadêmicas e de Pesquisa"", ""Trabalhadores"", ""Empresários"", ""ONGs"", ""Poder Público Estadual"", ""Poder Público Municipal""]",086.pdf,doc_8fd8aff8761cdd9f
Agência Recife de Inovação e Estratégia - ARIES,Agência Recife de Inovação e Estratégia - ARIES,"[""Universidade Federal de Pernambuco"", ""Companhia Editora de Pernambuco"", ""Observatório do Recife"", ""Prefeitura da Cidade do Recife"", ""Núcleo de Gestão do Porto Digital""]","[""Universidade Federal de Pernambuco"", ""Companhia Editora de Pernambuco"", ""Observatório do Recife"", ""Prefeitura da Cidade do Recife"", ""Núcleo de Gestão do Porto Digital""]",087.pdf,doc_50ab4b4afbd32236
United Nations Development Programme (UNDP),United Nations Development Programme (UNDP),"[""International Science Council"", ""Changeist"", ""Smithery"", ""UNDP Country Offices (Bangladesh)"", ""UNDP Country Offices (Bolivia)"", ""UNDP Country Offices (Ghana)"", ""UNDP Regional Bureaus""]","[""International Science Council"", ""Changeist"", ""Smithery"", ""UNDP Country Offices (Bangladesh)"", ""UNDP Country Offices (Bolivia)"", ""UNDP Country Offices (Ghana)"", ""UNDP Regional Bureaus""]",088.pdf,doc_4b1665532f036257
OECD,OECD,"[""European Union"", ""European Commission Directorate-General for Structural Reform Support"", ""Department of the Taoiseach"", ""Department of Public Expenditure, NDP Delivery and Reform"", ""University of Galway""]","[""European Union"", ""European Commission Directorate-General for Structural Reform Support"", ""Department of the Taoiseach"", ""Department of Public Expenditure, NDP Delivery and Reform"", ""University of Galway""]",089.pdf,doc_723c70b5f38de5ef
"Brazilian Center for International Relations (CEBRI), Alexandre de Gusmão Foundation (FUNAG), and Institute for Applied Economic Research (IPEA)","Brazilian Center for International Relations (CEBRI), Alexandre de Gusmão Foundation (FUNAG), and Institute for Applied Economic Research (IPEA)","[""Igarapé Institute"", ""Plataforma CIPÓ"", ""CBAE-UFRJ - Brazilian College of Higher Studies, Federal University of Rio de Janeiro"", ""Articulação Sul"", ""Associação de Jovens Engajamundo"", ""BPC - Brics Policy Center"", ""Cátedra Josué de Castro, USP - University of São Paulo"", ""CCGI-FGV - Centre for Global Trade and Investment, Getulio Vargas Foundation"", ""CEA-UFRRJ - Center for Advanced Studies, Federal Rural University of Rio de Janeiro"", ""CEBRAP - Brazilian Center for Analysis and Planning"", ""CEDEPLAR-UFMG - Center for Development and Regional Planning, Federal University of Minas Gerais"", ""CEE-FIOCRUZ - Centro de Estudos Estratégicos Antônio Ivo de Carvalho, FIOCRUZ"", ""CEM-USP - Center for Metropolitan Studies, University of São Paulo"", ""CGEE - Center for Strategic Studies and Management"", ""CIEPP-UNESP - Centro de Inovação para Excelência em Política Pública, São Paulo State University"", ""CRIS-FIOCRUZ - FIOCRUZ Global Health Center, Oswaldo Cruz Foundation"", ""CDP"", ""Criola"", ""Data Privacy Brasil"", ""E+ Energy Transition Institute"", ""FLACSO - Latin American Faculty of Social Sciences"", ""FINDE-UFF - Financialization and Development Research Group, Fluminense Federal University"", ""FomeRI-UFPB - Grupo de Pesquisa sobre Fome e Relações Internacionais, Federal University of Paraíba"", ""Geledés - Instituto da Mulher Negra"", ""GeFAM - Family and Gender Economics Study Group"", ""Imazon"", ""IDESAM - Instituto de Conservação e Desenvolvimento Sustentável da Amazônia"", ""IDESF - Instituto de Desenvolvimento Econômico e Social de Fronteiras"", ""IESP-UERJ - Institute of Social and Political Studies, State University of Rio de Janeiro"", ""iCS - Institute for Climate and Society"", ""Imagine Brasil"", ""Instituto Escolhas"", ""Instituto Fernand Braudel de Economia Mundial"", ""Instituto Fome Zero"", ""Instituto Guetto"", ""Instituto Millenium"", ""Instituto Talanoa"", ""IPPUR-UFRJ - Instituto de Pesquisa e Planejamento Urbano e Regional, Federal University of Rio de Janeiro"", ""ITS - Institute for Technology & Society"", ""LABMUNDO - World Political Analysis Laboratory"", ""LabJaca"", ""LAPIN - Laboratory of Public Policy and Internet"", ""Made-USP - Research Center on Macroeconomics of Inequalities, University of São Paulo"", ""Nature Finance"", ""NERI - Núcleo de Estudos Raciais, INSPER"", ""OIMC-UERJ - Interdisciplinary Observatory on Climate Change, State University of Rio de Janeiro"", ""OPEB-UFABC - Observatory of Brazil’s Foreign Policy, Federal University of ABC"", ""Observatório da Fronteira, Universidade Federal da Grande Dourados"", ""Plataforma de Dados Brasileiros no Exterior"", ""REDAGRI-UFPB - International Agri-Food Studies Network, Federal University of Paraíba"", ""Associação Nacional de Pós-Graduandos (ANPG)"", ""Organização Continental Latino-Americana e Caribenha de Estudantes (OCLAE)"", ""União Brasileira dos Estudantes Secundaristas (UBES)"", ""União Nacional dos Estudantes (UNE)"", ""Transparência Brasil""]","[""Igarapé Institute"", ""Plataforma CIPÓ"", ""CBAE-UFRJ - Brazilian College of Higher Studies, Federal University of Rio de Janeiro"", ""Articulação Sul"", ""Associação de Jovens Engajamundo"", ""BPC - Brics Policy Center"", ""Cátedra Josué de Castro, USP - University of São Paulo"", ""CCGI-FGV - Centre for Global Trade and Investment, Getulio Vargas Foundation"", ""CEA-UFRRJ - Center for Advanced Studies, Federal Rural University of Rio de Janeiro"", ""CEBRAP - Brazilian Center for Analysis and Planning"", ""CEDEPLAR-UFMG - Center for Development and Regional Planning, Federal University of Minas Gerais"", ""CEE-FIOCRUZ - Centro de Estudos Estratégicos Antônio Ivo de Carvalho, FIOCRUZ"", ""CEM-USP - Center for Metropolitan Studies, University of São Paulo"", ""CGEE - Center for Strategic Studies and Management"", ""CIEPP-UNESP - Centro de Inovação para Excelência em Política Pública, São Paulo State University"", ""CRIS-FIOCRUZ - FIOCRUZ Global Health Center, Oswaldo Cruz Foundation"", ""CDP"", ""Criola"", ""Data Privacy Brasil"", ""E+ Energy Transition Institute"", ""FLACSO - Latin American Faculty of Social Sciences"", ""FINDE-UFF - Financialization and Development Research Group, Fluminense Federal University"", ""FomeRI-UFPB - Grupo de Pesquisa sobre Fome e Relações Internacionais, Federal University of Paraíba"", ""Geledés - Instituto da Mulher Negra"", ""GeFAM - Family and Gender Economics Study Group"", ""Imazon"", ""IDESAM - Instituto de Conservação e Desenvolvimento Sustentável da Amazônia"", ""IDESF - Instituto de Desenvolvimento Econômico e Social de Fronteiras"", ""IESP-UERJ - Institute of Social and Political Studies, State University of Rio de Janeiro"", ""iCS - Institute for Climate and Society"", ""Imagine Brasil"", ""Instituto Escolhas"", ""Instituto Fernand Braudel de Economia Mundial"", ""Instituto Fome Zero"", ""Instituto Guetto"", ""Instituto Millenium"", ""Instituto Talanoa"", ""IPPUR-UFRJ - Instituto de Pesquisa e Planejamento Urbano e Regional, Federal University of Rio de Janeiro"", ""ITS - Institute for Technology & Society"", ""LABMUNDO - World Political Analysis Laboratory"", ""LabJaca"", ""LAPIN - Laboratory of Public Policy and Internet"", ""Made-USP - Research Center on Macroeconomics of Inequalities, University of São Paulo"", ""Nature Finance"", ""NERI - Núcleo de Estudos Raciais, INSPER"", ""OIMC-UERJ - Interdisciplinary Observatory on Climate Change, State University of Rio de Janeiro"", ""OPEB-UFABC - Observatory of Brazil’s Foreign Policy, Federal University of ABC"", ""Observatório da Fronteira, Universidade Federal da Grande Dourados"", ""Plataforma de Dados Brasileiros no Exterior"", ""REDAGRI-UFPB - International Agri-Food Studies Network, Federal University of Paraíba"", ""Associação Nacional de Pós-Graduandos (ANPG)"", ""Organização Continental Latino-Americana e Caribenha de Estudantes (OCLAE)"", ""União Brasileira dos Estudantes Secundaristas (UBES)"", ""União Nacional dos Estudantes (UNE)"", ""Transparência Brasil""]",090.pdf,doc_eeaa6cfe7f674c72
CBIE Advisory,CBIE Advisory,"[""Associação Brasileira das Empresas Distribuidoras de Gás Canalizado (ABEGÁS)""]","[""Associação Brasileira das Empresas Distribuidoras de Gás Canalizado (ABEGÁS)""]",091.pdf,doc_d095d72cb74c4ef1
PwC,PwC,"[""London Business School"", ""City University of New York"", ""University of Chicago"", ""PwC China"", ""PwC Colombia"", ""PwC Nigeria"", ""PwC Poland"", ""PwC Turkey"", ""Source Global Research""]","[""London Business School"", ""City University of New York"", ""University of Chicago"", ""PwC China"", ""PwC Colombia"", ""PwC Nigeria"", ""PwC Poland"", ""PwC Turkey"", ""Source Global Research""]",092.pdf,doc_ac3752b3549fdfe5
